"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Pop_AgeGroups","4516000","Columbia","6696","50409","43044","19251","12836","9267","8512","6120","4255","3290","3390","6696","5606","5309","19579","19915","12866","9886","7323","6498","6471","6809","6509","5933","4615","3002","5219"
"Pop_AgeGroups","4659020","Sioux Falls","13053","45576","60642","30762","20368","4756","6052","7063","6838","5576","5030","13053","12028","11376","10061","12111","14508","13962","11869","10580","9723","10577","10837","9348","7249","4479","8640"
"Pop_AgeGroups","4652980","Rapid City","4951","18549","22612","14393","12336","1869","2399","2697","2417","2141","1701","4951","5290","4013","4162","5084","5764","5059","4318","3383","4088","4650","5389","4354","3979","2715","5642"
"Pop_AgeGroups","4740000","Knoxville","10612","57937","60896","30708","24312","6930","12733","8541","6687","6041","4700","10612","10445","8526","13662","25304","16276","13637","11185","9926","9872","11398","10182","9128","8115","5774","10423"
"Pop_AgeGroups","4714000","Chattanooga","10702","44589","59557","33983","27460","6066","7245","7906","6148","5843","4901","10702","9928","9899","11269","13493","15319","12379","11596","9729","10534","11578","11812","10593","8672","6083","12705"
"Pop_AgeGroups","4752006","Nashville","45409","162229","258392","114917","73240","18532","26386","35856","30586","23943","20737","45409","39972","34944","37279","50034","68323","60364","47627","42428","39650","40310","40321","34286","26557","16727","29956"
"Pop_AgeGroups","4715160","Clarksville","13535","45413","57351","19624","11848","4668","6959","7937","6592","4664","4837","13535","10920","10223","9196","15074","16858","13807","9853","8982","7851","7435","6371","5818","4640","2779","4429"
"Pop_AgeGroups","4751560","Murfreesboro","7988","43087","45729","18513","10871","5021","8633","5304","5143","4259","4060","7988","8345","7978","9741","17023","11303","10109","8806","8175","7336","6963","6549","5001","3902","2772","4197"
"Pop_AgeGroups","4748000","Memphis","50003","186466","222052","118905","77297","21880","27263","28590","24256","22009","19876","50003","45768","43584","43402","53712","55992","47042","42007","38287","38724","40127","41712","37066","27880","17621","31796"
"Pop_AgeGroups","4857200","Pharr","8025","26508","24467","8867","8860","3209","3076","2444","2530","2784","2796","8025","6765","7747","6305","5691","5140","4857","5114","5065","4291","3498","3022","2347","2846","2185","3829"
"Pop_AgeGroups","4845384","McAllen","11079","43218","47052","21177","17312","5614","4687","5119","4870","4436","4930","11079","11191","11302","10807","9918","9759","9959","9153","9626","8555","7346","6774","7057","5275","4041","7996"
"Pop_AgeGroups","4822660","Edinburg","8441","31289","29131","11129","6133","4313","4681","2897","2882","3143","2804","8441","7223","7442","8429","8195","6587","5486","5822","6264","4972","4179","3751","3199","1662","1656","2815"
"Pop_AgeGroups","4841464","Laredo","25228","89915","83911","33808","22443","11337","10157","8728","8414","8640","8898","25228","22637","24270","22610","20398","17563","16839","17235","16877","15397","12987","10832","9989","7721","5430","9292"
"Pop_AgeGroups","4848768","Mission","7853","28932","25512","11176","9569","3742","3152","2069","2668","3296","2984","7853","7580","7865","7697","5790","4145","4785","6154","5298","5130","4197","3363","3616","3018","2308","4243"
"Pop_AgeGroups","4865000","San Antonio","104089","427841","516490","243885","169318","51559","56671","60766","54283","49395","47622","104089","103885","101425","105979","116552","124225","110875","98245","93975","89170","89296","82968","71621","57304","40182","71832"
"Pop_AgeGroups","4863500","Round Rock","7966","35836","45325","18508","8734","4098","3608","3997","4022","5252","5051","7966","9746","9564","9277","7249","7999","8271","9696","10322","9037","7586","5656","5266","3486","2405","2843"
"Pop_AgeGroups","4805000","Austin","61507","233106","405188","140317","76788","27020","37169","51718","45396","35709","32782","61507","55548","49821","53365","74372","108143","95672","76833","67506","57034","52687","46417","41213","28403","19496","28889"
"Pop_AgeGroups","4839148","Killeen","14570","45148","55427","17067","8301","4183","7477","7588","6342","5077","4764","14570","11516","10446","9137","14049","15803","13296","9782","9052","7494","6575","5962","4530","3156","2075","3070"
"Pop_AgeGroups","4810768","Brownsville","15711","63916","56033","25786","20637","8371","7000","5389","5501","6031","6988","15711","14758","16738","17021","15399","10767","10666","11164","12629","10807","9758","8436","7592","6540","4835","9262"
"Pop_AgeGroups","4864472","San Angelo","6970","29546","32029","16152","14438","3308","4162","4023","3799","2860","2496","6970","6656","6362","7231","9297","8483","7770","5842","4873","5061","5175","5704","5273","4470","3318","6650"
"Pop_AgeGroups","4815976","College Station","5684","56329","29177","9848","6407","7715","14380","4373","3410","2366","2439","5684","4781","4640","15049","31859","9450","6648","4645","4667","3767","3597","3321","2930","2380","1591","2436"
"Pop_AgeGroups","4810912","Bryan","6050","25901","29748","11722","8322","2035","5148","4083","3182","2414","2307","6050","5199","5667","4402","10633","8100","7034","5431","4727","4456","4129","3855","3738","2428","2119","3775"
"Pop_AgeGroups","4835000","Houston","176507","623906","869808","368655","228460","69193","86955","103525","96618","78147","74742","176507","160783","146379","140722","176022","214227","199465","164937","151589","139590","133329","127641","107685","80433","55182","92845"
"Pop_AgeGroups","4870808","Sugar Land","4702","21862","26968","20784","12570","2701","2563","2423","2576","2557","3122","4702","5712","5721","5664","4765","4996","4649","5227","5788","6308","6987","6848","6949","4785","3061","4724"
"Pop_AgeGroups","4856348","Pearland","9223","30553","43004","19247","11666","3500","2616","3523","5153","5418","4252","9223","10015","7859","6666","6013","6659","10238","9780","8352","7975","7300","6290","5657","3816","2985","4865"
"Pop_AgeGroups","4848804","Missouri City","4405","19279","23419","17116","8469","2519","2188","2315","2426","2591","2448","4405","4507","5202","4975","4595","4761","4360","5042","4516","4740","5149","5997","5970","3665","2222","2582"
"Pop_AgeGroups","4841980","League City","8087","27181","36702","16860","9385","3692","2281","3815","3989","3586","3600","8087","7326","7124","6950","5781","6656","7657","7442","7412","7535","6659","6023","4178","3849","2031","3505"
"Pop_AgeGroups","4856000","Pasadena","13424","48868","51186","25885","14546","5767","5528","5694","5641","5006","4416","13424","12873","12938","11846","11211","11742","11224","9299","9496","9425","9549","9297","7039","5156","3508","5882"
"Pop_AgeGroups","4806128","Baytown","6114","23213","25112","12864","8902","2419","2739","2768","2675","2201","2205","6114","6151","5788","5073","6201","5732","5694","4531","4520","4635","4602","4244","4018","2912","1870","4120"
"Pop_AgeGroups","4817000","Corpus Christi","22157","91659","107140","59144","42626","11461","11676","11959","11589","10659","9795","22157","22795","22045","22935","23884","24344","23487","21053","19566","18690","20373","20165","18606","14295","10560","17771"
"Pop_AgeGroups","4807000","Beaumont","8714","34141","37638","21538","16393","4003","4727","4365","3774","3752","3512","8714","8286","7455","8301","10099","9392","7864","7426","6567","6389","7304","7464","6770","5368","3775","7250"
"Pop_AgeGroups","4874144","Tyler","7561","30189","32392","16790","15629","3870","4881","4502","3532","2952","2808","7561","6483","6951","7467","9288","8645","7215","5611","5367","5554","5625","5867","5298","4096","3733","7800"
"Pop_AgeGroups","4843888","Longview","6443","23360","26027","14636","11753","2568","2885","2782","3085","2585","2368","6443","5848","5817","5470","6225","5922","5840","5340","4684","4241","5455","5384","3797","3498","2566","5689"
"Pop_AgeGroups","4847892","Mesquite","10882","45448","48377","25365","14046","5357","5155","4495","5114","5492","4971","10882","11533","12586","10997","10332","10084","9733","9863","9256","9441","9513","8463","7389","5072","3196","5778"
